Portfolio Name,Category,Set,Product Name,Card Number,Rarity,Variance,Grade,Card Condition,Average Cost Paid,Quantity,Market Price (As of 2026-06-08),Price Override,Watchlist,Date Added,Notes
Main,One Piece,Carrying On His Will,Sanji,OP13-027,R,Foil,Ungraded,Near Mint,0,1,3.48,0,false,2026-06-06,
Main,One Piece,Carrying On His Will,Scopper Gaban,OP13-067,R,Foil,Ungraded,Near Mint,0,1,3.65,0,false,2026-06-06,
Main,One Piece,Carrying On His Will,Vista,OP13-046,R,Foil,Ungraded,Near Mint,0,1,1.82,0,false,2026-06-06,
Main,One Piece,Egghead Crisis,Alpha (JP),EB04-042,C,Normal,Ungraded,Near Mint,0,4,36.62,0,false,2026-06-04,
Main,One Piece,Egghead Crisis,Bartholomew Kuma (JP),EB04-055,C,Normal,Ungraded,Near Mint,0,4,38.11,0,false,2026-06-04,
Main,One Piece,Egghead Crisis,Bird Neptunian (JP),EB04-016,C,Normal,Ungraded,Near Mint,0,4,41.42,0,false,2026-06-04,
Main,One Piece,Egghead Crisis,Black Rope Dragon Twister (JP),EB04-059,R,Foil,Ungraded,Near Mint,0,1,41.42,0,false,2026-06-04,
Main,One Piece,Egghead Crisis,Bluegrass (JP),EB04-026,C,Normal,Ungraded,Near Mint,0,4,36.62,0,false,2026-06-04,
Main,One Piece,Egghead Crisis,Boa Hancock (JP),EB04-027,R,Foil,Ungraded,Near Mint,0,1,53.02,0,false,2026-06-04,
Main,One Piece,Egghead Crisis,Borsalino (JP),EB04-058,SR,Foil,Ungraded,Near Mint,0,1,459.82,0,false,2026-06-04,
Main,One Piece,Egghead Crisis,Carrot (JP),EB04-013,SR,Foil,Ungraded,Near Mint,0,1,62.96,0,false,2026-06-04,
Main,One Piece,Egghead Crisis,Chaka & Pell (JP),EB04-023,R,Foil,Ungraded,Near Mint,0,1,53.02,0,false,2026-06-04,
Main,One Piece,Egghead Crisis,Charlotte Pudding (JP),EB04-034,C,Normal,Ungraded,Near Mint,0,4,36.62,0,false,2026-06-04,
Main,One Piece,Egghead Crisis,Distorted Future (JP),EB04-008,R,Foil,Ungraded,Near Mint,0,1,62.96,0,false,2026-06-04,
Main,One Piece,Egghead Crisis,Doll (JP),EB04-046,C,Normal,Ungraded,Near Mint,0,4,36.62,0,false,2026-06-04,
Main,One Piece,Egghead Crisis,DON!! (JP),DON!!,DON!! Cards,Foil,Ungraded,Near Mint,0,1,245.22,0,false,2026-06-04,
Main,One Piece,Egghead Crisis,Eleclaw (JP),EB04-019,R,Foil,Ungraded,Near Mint,0,1,41.42,0,false,2026-06-04,
Main,One Piece,Egghead Crisis,Emet (JP),EB04-051,C,Normal,Ungraded,Near Mint,0,4,36.62,0,false,2026-06-04,
Main,One Piece,Egghead Crisis,"Eustass""Captain""Kid (JP)",EB04-039,R,Foil,Ungraded,Near Mint,0,1,41.42,0,false,2026-06-04,
Main,One Piece,Egghead Crisis,Finger Pistol Yellow Lotus (JP),EB04-049,C,Normal,Ungraded,Near Mint,0,3,36.62,0,false,2026-06-04,
Main,One Piece,Egghead Crisis,Flame Dragon Torch (JP),EB04-040,R,Foil,Ungraded,Near Mint,0,1,41.42,0,false,2026-06-04,
Main,One Piece,Egghead Crisis,Ginny (JP),EB04-045,C,Normal,Ungraded,Near Mint,0,4,36.62,0,false,2026-06-04,
Main,One Piece,Egghead Crisis,Groggy Monsters (JP),EB04-033,C,Normal,Ungraded,Near Mint,0,4,36.62,0,false,2026-06-04,
Main,One Piece,Egghead Crisis,Gum-Gum Hawk Gatling (JP),EB04-060,C,Normal,Ungraded,Near Mint,0,4,38.11,0,false,2026-06-04,
Main,One Piece,Egghead Crisis,Helmeppo (JP),EB04-047,R,Foil,Ungraded,Near Mint,0,1,53.02,0,false,2026-06-04,
Main,One Piece,Egghead Crisis,Hitokiri Kamazo (JP),EB04-035,C,Normal,Ungraded,Near Mint,0,3,36.62,0,false,2026-06-04,
Main,One Piece,Egghead Crisis,Ice Time (JP),EB04-028,R,Foil,Ungraded,Near Mint,0,1,46.39,0,false,2026-06-04,
Main,One Piece,Egghead Crisis,Igaram (JP),EB04-021,C,Normal,Ungraded,Near Mint,0,4,36.62,0,false,2026-06-04,
Main,One Piece,Egghead Crisis,I Heard the Sound...of a Lady's Teardrops Falling (JP),EB04-029,C,Normal,Ungraded,Near Mint,0,4,46.39,0,false,2026-06-04,
Main,One Piece,Egghead Crisis,I'll Whip You Into Shape. Ã¢â„¢Â¡ (JP),EB04-050,R,Foil,Ungraded,Near Mint,0,1,46.39,0,false,2026-06-04,
Main,One Piece,Egghead Crisis,Issho (JP),EB04-022,R,Foil,Ungraded,Near Mint,0,1,53.02,0,false,2026-06-04,
Main,One Piece,Egghead Crisis,It's My Student's Farewell. I Want It to Be Proper. (JP),EB04-009,C,Normal,Ungraded,Near Mint,0,5,36.62,0,false,2026-06-04,
Main,One Piece,Egghead Crisis,Jewelry Bonney (JP),EB04-002,R,Foil,Ungraded,Near Mint,0,1,46.39,0,false,2026-06-04,
Main,One Piece,Egghead Crisis,Jinbe (JP),EB04-015,R,Foil,Ungraded,Near Mint,0,1,41.42,0,false,2026-06-04,
Main,One Piece,Egghead Crisis,Kaido (JP),EB04-030,R,Foil,Ungraded,Near Mint,0,1,41.42,0,false,2026-06-04,
Main,One Piece,Egghead Crisis,Kaku (JP),EB04-043,R,Foil,Ungraded,Near Mint,0,1,41.42,0,false,2026-06-04,
Main,One Piece,Egghead Crisis,Kaku (Parallel) (JP),EB04-043,R,Foil,Ungraded,Near Mint,0,1,195.52,0,false,2026-06-04,
Main,One Piece,Egghead Crisis,King (JP),EB04-031,R,Foil,Ungraded,Near Mint,0,1,41.42,0,false,2026-06-04,
Main,One Piece,Egghead Crisis,Koby (JP),EB04-044,SR,Foil,Ungraded,Near Mint,0,1,79.53,0,false,2026-06-04,
Main,One Piece,Egghead Crisis,Kouzuki Sukiyaki (JP),EB04-014,C,Normal,Ungraded,Near Mint,0,4,36.62,0,false,2026-06-04,
Main,One Piece,Egghead Crisis,Lulucia Kingdom (JP),EB04-010,C,Normal,Ungraded,Near Mint,0,4,38.11,0,false,2026-06-04,
Main,One Piece,Egghead Crisis,Megalo (JP),EB04-018,R,Foil,Ungraded,Near Mint,0,1,53.02,0,false,2026-06-04,
Main,One Piece,Egghead Crisis,Moda (JP),EB04-006,C,Normal,Ungraded,Near Mint,0,4,36.62,0,false,2026-06-04,
Main,One Piece,Egghead Crisis,Mystoms (JP),EB04-017,C,Normal,Ungraded,Near Mint,0,4,41.42,0,false,2026-06-04,
Main,One Piece,Egghead Crisis,Pacifista (JP),EB04-056,C,Normal,Ungraded,Near Mint,0,4,36.62,0,false,2026-06-04,
Main,One Piece,Egghead Crisis,Porche (JP),EB04-037,C,Normal,Ungraded,Near Mint,0,4,41.42,0,false,2026-06-04,
Main,One Piece,Egghead Crisis,Queen (JP),EB04-032,R,Foil,Ungraded,Near Mint,0,1,53.02,0,false,2026-06-04,
Main,One Piece,Egghead Crisis,Sanji (JP),EB04-052,R,Foil,Ungraded,Near Mint,0,1,46.39,0,false,2026-06-04,
Main,One Piece,Egghead Crisis,Scaled Neptunian (JP),EB04-011,C,Normal,Ungraded,Near Mint,0,4,36.62,0,false,2026-06-04,
Main,One Piece,Egghead Crisis,Sentomaru (JP),EB04-053,C,Normal,Ungraded,Near Mint,0,4,38.11,0,false,2026-06-04,
Main,One Piece,Egghead Crisis,Shark Brick Fist (JP),EB04-020,C,Normal,Ungraded,Near Mint,0,5,36.62,0,false,2026-06-04,
Main,One Piece,Egghead Crisis,Smoker & Tashigi (JP),EB04-003,R,Foil,Ungraded,Near Mint,0,1,53.02,0,false,2026-06-04,
Main,One Piece,Egghead Crisis,Stealth Black (JP),EB04-041,C,Normal,Ungraded,Near Mint,0,4,46.39,0,false,2026-06-04,
Main,One Piece,Egghead Crisis,Terracotta (JP),EB04-024,C,Normal,Ungraded,Near Mint,0,4,36.62,0,false,2026-06-04,
Main,One Piece,Egghead Crisis,Trafalgar Law (JP),EB04-005,C,Normal,Ungraded,Near Mint,0,4,41.42,0,false,2026-06-04,
Main,One Piece,Egghead Crisis,Vegapunk (JP),EB04-057,C,Normal,Ungraded,Near Mint,0,4,36.62,0,false,2026-06-04,
Main,One Piece,Egghead Crisis,Zeff (JP),EB04-004,C,Normal,Ungraded,Near Mint,0,4,36.62,0,false,2026-06-04,
Main,One Piece,Emperors in the New World,Alvida (JP),OP09-043,UC,Normal,Ungraded,Near Mint,0,1,38.11,0,false,2026-06-02,
Main,One Piece,Emperors in the New World,Buggy (JP),OP09-042,L,Normal,Ungraded,Near Mint,0,1,38.11,0,false,2026-06-04,
Main,One Piece,Emperors in the New World,Buggy (Parallel) (JP),OP09-051,R,Foil,Ungraded,Near Mint,0,1,245.22,0,false,2026-06-02,
Main,One Piece,Emperors in the New World,Come On!! We'll Fight You!! (JP),OP09-020,R,Foil,Ungraded,Near Mint,0,1,38.11,0,false,2026-06-02,
Main,One Piece,Emperors in the New World,Donquixote Doflamingo (JP),OP09-031,R,Foil,Ungraded,Near Mint,0,1,53.02,0,false,2026-06-04,
Main,One Piece,Emperors in the New World,Dracule Mihawk (JP),OP09-048,SR,Foil,Ungraded,Near Mint,0,2,49.71,0,false,2026-06-02,
Main,One Piece,Emperors in the New World,Franky (JP),OP09-072,SR,Foil,Ungraded,Near Mint,0,1,62.96,0,false,2026-06-02,
Main,One Piece,Emperors in the New World,Fullalead (JP),OP09-099,C,Normal,Ungraded,Near Mint,0,1,36.62,0,false,2026-06-02,
Main,One Piece,Emperors in the New World,Gum-Gum Cuatro Jet Cross Shock Bazooka (JP),OP09-039,R,Foil,Ungraded,Near Mint,0,1,46.39,0,false,2026-06-02,
Main,One Piece,Emperors in the New World,Gum-Gum Giant (JP),OP09-078,R,Foil,Ungraded,Near Mint,0,2,46.39,0,false,2026-06-02,
Main,One Piece,Emperors in the New World,Gum-Gum Lightning (JP),OP09-077,UC,Normal,Ungraded,Near Mint,0,1,46.39,0,false,2026-06-04,
Main,One Piece,Emperors in the New World,Hongo (JP),OP09-011,UC,Normal,Ungraded,Near Mint,0,1,46.39,0,false,2026-06-02,
Main,One Piece,Emperors in the New World,Ice Block Partisan (JP),OP09-115,UC,Normal,Ungraded,Near Mint,0,1,38.11,0,false,2026-06-02,
Main,One Piece,Emperors in the New World,Jesus Burgess (JP),OP09-086,R,Foil,Ungraded,Near Mint,0,2,41.42,0,false,2026-06-04,
Main,One Piece,Emperors in the New World,Kuzan (JP),OP09-101,R,Foil,Ungraded,Near Mint,0,1,38.11,0,false,2026-06-04,
Main,One Piece,Emperors in the New World,Laffitte (JP),OP09-095,R,Foil,Ungraded,Near Mint,0,1,46.39,0,false,2026-06-04,
Main,One Piece,Emperors in the New World,Lucky.Roux (JP),OP09-015,R,Foil,Ungraded,Near Mint,0,1,46.39,0,false,2026-06-04,
Main,One Piece,Emperors in the New World,Marshall.D.Teach (093),OP09-093,SR,Foil,Ungraded,Near Mint,0,1,54.02,0,false,2026-06-06,
Main,One Piece,Emperors in the New World,Marshall.D.Teach (JP),OP09-093,SR,Foil,Ungraded,Near Mint,0,1,62.96,0,false,2026-06-02,
Main,One Piece,Emperors in the New World,Marshall.D.Teach (JP),OP09-081,L,Normal,Ungraded,Near Mint,0,1,82.85,0,false,2026-06-04,
Main,One Piece,Emperors in the New World,My Era...Begins!! (JP),OP09-096,R,Foil,Ungraded,Near Mint,0,1,53.02,0,false,2026-06-04,
Main,One Piece,Emperors in the New World,Nami (JP),OP09-050,R,Foil,Ungraded,Near Mint,0,1,46.39,0,false,2026-06-04,
Main,One Piece,Emperors in the New World,Nico Robin (JP),OP09-062,L,Normal,Ungraded,Near Mint,0,2,38.11,0,false,2026-06-02,
Main,One Piece,Emperors in the New World,Nico Robin (JP),OP09-107,R,Foil,Ungraded,Near Mint,0,1,53.02,0,false,2026-06-04,
Main,One Piece,Emperors in the New World,Perona (JP),OP09-034,R,Foil,Ungraded,Near Mint,0,1,53.02,0,false,2026-06-04,
Main,One Piece,Emperors in the New World,Portgas.D.Ace (JP),OP09-035,UC,Normal,Ungraded,Near Mint,0,1,38.11,0,false,2026-06-02,
Main,One Piece,Emperors in the New World,Professor Clover (JP),OP09-102,R,Foil,Ungraded,Near Mint,0,1,46.39,0,false,2026-06-04,
Main,One Piece,Emperors in the New World,Roronoa Zoro (JP),OP09-076,R,Foil,Ungraded,Near Mint,0,1,38.11,0,false,2026-06-04,
Main,One Piece,Emperors in the New World,Sabo (JP),OP09-104,R,Foil,Ungraded,Near Mint,0,1,46.39,0,false,2026-06-04,
Main,One Piece,Emperors in the New World,Shanks (JP),OP09-001,L,Normal,Ungraded,Near Mint,0,1,41.42,0,false,2026-06-04,
Main,One Piece,Emperors in the New World,Shanks (JP),OP09-004,SR,Foil,Ungraded,Near Mint,0,1,62.96,0,false,2026-06-02,
Main,One Piece,Emperors in the New World,Stronger (JP),OP09-089,UC,Normal,Ungraded,Near Mint,0,2,38.11,0,false,2026-06-02,
Main,One Piece,Emperors in the New World,Trafalgar Law (JP),OP09-069,R,Foil,Ungraded,Near Mint,0,1,53.02,0,false,2026-06-04,
Main,One Piece,Emperors in the New World,Uta (JP),OP09-002,R,Normal,Ungraded,Near Mint,0,1,53.02,0,false,2026-06-04,
Main,One Piece,Emperors in the New World,Van Augur (JP),OP09-083,R,Foil,Ungraded,Near Mint,0,1,46.39,0,false,2026-06-04,
Main,One Piece,Emperors in the New World Pre-Release Cards,Trafalgar Law,OP09-030,UC,Normal,Ungraded,Near Mint,0,1,37.78,0,false,2026-06-02,
Main,One Piece,Extra Booster: Anime 25th Collection,Roronoa Zoro,EB02-019,R,Foil,Ungraded,Near Mint,0,1,5.96,0,false,2026-05-30,
Main,One Piece,Extra Booster: Memorial Collection,Cavendish,EB01-012,SR,Foil,Ungraded,Near Mint,0,2,85.17,0,false,2026-06-02,
Main,One Piece,Extra Booster: Memorial Collection,Kid & Killer,EB01-003,R,Foil,Ungraded,Near Mint,0,1,52.52,0,false,2026-05-26,
Main,One Piece,Extra Booster: Memorial Collection,Tony Tony.Chopper,EB01-006,SR,Foil,Ungraded,Near Mint,450.0007,1,432.45,0,false,2026-06-02,
Main,One Piece,Extra Booster: One Piece Heroine's Edition,Boa Hancock (Alternate Art),EB03-026,SR,Foil,Ungraded,Near Mint,299.9994,1,677.51,0,false,2026-06-02,
Main,One Piece,Extra Booster: One Piece Heroine's Edition,Charlotte Linlin,EB03-034,R,Foil,Ungraded,Near Mint,0,1,4.64,0,false,2026-06-04,
Main,One Piece,Extra Booster: One Piece Heroine's Edition,Kujyaku,EB03-041,R,Foil,Ungraded,Near Mint,0,1,4.47,0,false,2026-06-04,
Main,One Piece,Extra Booster: One Piece Heroine's Edition,Nami (053),EB03-053,SR,Foil,Ungraded,Near Mint,450.0007,1,377.61,0,false,2026-06-02,
Main,One Piece,Extra Booster: One Piece Heroine's Edition,Nefeltari Vivi (024),EB03-024,SR,Foil,Ungraded,Near Mint,0,1,49.87,0,false,2026-06-04,
Main,One Piece,Extra Booster: One Piece Heroine's Edition,Nefeltari Vivi (024) (Alternate Art),EB03-024,SR,Foil,Ungraded,Near Mint,458.0004,1,524.08,0,false,2026-06-02,
Main,One Piece,Extra Booster: One Piece Heroine's Edition,Otama,EB03-012,R,Foil,Ungraded,Near Mint,0,1,2.49,0,false,2026-05-26,
Main,One Piece,Extra Booster: One Piece Heroine's Edition,Perona,EB03-045,SR,Foil,Ungraded,Near Mint,0,1,20.05,0,false,2026-06-04,
Main,One Piece,Extra Booster: One Piece Heroine's Edition,Rebecca,EB03-048,R,Foil,Ungraded,Near Mint,0,1,2.65,0,false,2026-06-04,
Main,One Piece,Extra Booster: One Piece Heroine's Edition,Sugar,EB03-005,R,Foil,Ungraded,Near Mint,0,2,2.98,0,false,2026-06-04,
Main,One Piece,Extra Booster: One Piece Heroine's Edition,Tashigi,EB03-018,SR,Foil,Ungraded,Near Mint,0,1,10.44,0,false,2026-06-04,
Main,One Piece,Extra Booster: One Piece Heroine's Edition,Trafalgar Law,EB03-062,SEC,Foil,Ungraded,Near Mint,250.0000,1,451.84,0,false,2026-06-02,
Main,One Piece,Extra Booster: One Piece Heroine's Edition,Uta (003),EB03-003,SR,Foil,Ungraded,Near Mint,0,1,8.28,0,false,2026-06-04,
Main,One Piece,Heroines Edition,"There You Are, Sore Loser! (JP)",EB03-020,C,Normal,Ungraded,Near Mint,0,1,34.8,0,false,2026-05-26,
Main,One Piece,Kingdoms of Intrigue,Sabo (JP),OP04-083,SR,Foil,Ungraded,Near Mint,0,1,69.59,0,false,2026-06-04,
Main,One Piece,Learn Together Deck Set,Learn Together Deck Set,,,Normal,Ungraded,Near Mint,0,1,750.91,0,false,2026-05-26,
Main,One Piece,Learn Together Deck Set,Monkey.D.Luffy - ST21-001 (Luffy Deck),ST21-001,L,Foil,Ungraded,Near Mint,0,1,194.52,0,false,2026-05-26,
Main,One Piece,Learn Together Deck Set,Nami - OP11-041 (Nami Deck),OP11-041,L,Foil,Ungraded,Near Mint,0,1,148.96,0,false,2026-05-26,
Main,One Piece,Learn Together Deck Set,Nami - OP11-054 (Nami Deck),OP11-054,SR,Normal,Ungraded,Near Mint,0,1,74.56,0,false,2026-05-26,
Main,One Piece,Learn Together Deck Set,Roronoa Zoro - OP12-020 (Zoro Deck),OP12-020,L,Foil,Ungraded,Near Mint,0,1,142.83,0,false,2026-05-26,
Main,One Piece,Legacy of the Master,Donquixote Rosinante (061) (Alternate Art),OP12-061,L,Foil,Ungraded,Near Mint,0,1,929.36,0,false,2026-06-06,
Main,One Piece,Legacy of the Master,Koala (parallel) (JP),OP12-086,R,Foil,PSA 10.0 GEM - MT,Near Mint,558.0008,1,430.8,0,false,2026-05-26,
Main,One Piece,Legacy of the Master,Monkey.D.Luffy (Alternate Art),OP12-015,SR,Foil,Ungraded,Near Mint,150.0007,1,208.44,0,false,2026-06-02,
Main,One Piece,Memorial Collection,Brook (JP),EB01-046,SR,Foil,Ungraded,Near Mint,0,1,129.24,0,false,2026-06-02,
Main,One Piece,One Piece Promotion Cards,Arlong (Premium Card Collection -Live Action Edition-),P-048,PR,Foil,Ungraded,Near Mint,0,1,205.46,0,false,2026-06-02,
Main,One Piece,One Piece Promotion Cards,Black Maria (Premium Card Collection -BANDAI CARD GAMES Fest. 23-24 Edition-),ST04-011,C,Foil,Ungraded,Near Mint,0,1,87.65,0,false,2026-06-02,
Main,One Piece,One Piece Promotion Cards,Brook (Premium Card Collection -BANDAI CARD GAMES Fest. 23-24 Edition-),ST01-011,C,Foil,Ungraded,Near Mint,0,1,218.05,0,false,2026-06-02,
Main,One Piece,One Piece Promotion Cards,Building Snake (Premium Card Collection -Best Selection Vol. 4-),OP09-008,UC,Foil,Ungraded,Near Mint,0,1,48.88,0,false,2026-06-04,
Main,One Piece,One Piece Promotion Cards,Franky (Premium Card Collection -ONE PIECE FILM RED Edition-),OP01-021,UC,Foil,CGC 10.0 Pristine,Near Mint,580.0004,1,"1,055.62",0,false,2026-05-22,
Main,One Piece,One Piece Promotion Cards,Fukurou (Premium Card Collection -BANDAI CARD GAMES Fest. 23-24 Edition-),OP03-088,UC,Foil,Ungraded,Near Mint,0,2,21.37,0,false,2026-06-02,
Main,One Piece,One Piece Promotion Cards,I Know You're Strong... So I'll Go All Out from the Very Start!!! (3rd Anniversary Treasure Campaign Pack),OP13-040,R,Foil,PSA 10.0 GEM - MT,Near Mint,649.9998,1,"1,286.81",0,false,2026-05-27,
Main,One Piece,One Piece Promotion Cards,Izo (Premium Card Collection -BANDAI CARD GAMES Fest. 23-24 Edition-),OP01-033,UC,Foil,Ungraded,Near Mint,0,1,23.03,0,false,2026-06-02,
Main,One Piece,One Piece Promotion Cards,Jack (Premium Card Collection -BANDAI CARD GAMES Fest. 23-24 Edition-),ST04-008,C,Foil,Ungraded,Near Mint,0,1,29.33,0,false,2026-06-02,
Main,One Piece,One Piece Promotion Cards,Kouzuki Momonosuke (Premium Card Collection -Best Selection Vol. 4-),OP10-028,UC,Foil,Ungraded,Near Mint,0,1,47.72,0,false,2026-06-04,
Main,One Piece,One Piece Promotion Cards,Monkey.D.Luffy (Event Pack Vol. 2),P-033,PR,Foil,Ungraded,Near Mint,0,1,"4,597.1",0,false,2026-06-06,
Main,One Piece,One Piece Promotion Cards,Monkey.D.Luffy - ST10-006 (3rd Anniversary Treasure Campaign Pack),ST10-006,C,Foil,CGC 10.0 Pristine,Near Mint,350.0004,1,0,"1,359",false,2026-05-22,
Main,One Piece,One Piece Promotion Cards,Nami (Tournament Pack Vol. 3) [Participant],ST01-007,PR,Normal,CGC 9.0 Mint,Near Mint,0,1,0,0,false,2026-06-04,
Main,One Piece,One Piece Promotion Cards,Okiku (Premium Card Collection -BANDAI CARD GAMES Fest. 23-24 Edition-),OP01-035,R,Foil,Ungraded,Near Mint,0,1,52.36,0,false,2026-06-02,
Main,One Piece,One Piece Promotion Cards,Perona (Premium Card Collection -Best Selection Vol. 4-),OP10-092,C,Foil,Ungraded,Near Mint,0,1,130.73,0,false,2026-06-04,
Main,One Piece,One Piece Promotion Cards,Portgas.D.Ace (Winner Pack 2024 Oct.-Dec.),OP07-053,R,Foil,Ungraded,Near Mint,0,1,347.62,0,false,2026-06-06,
Main,One Piece,One Piece Promotion Cards,Premium Card Collection -BANDAI CARD GAMES Fest. 23-24 Edition-,,,Normal,Ungraded,Near Mint,1350.0006,1,"1,819.78",0,false,2026-06-02,
Main,One Piece,One Piece Promotion Cards,Premium Card Collection -Best Selection Vol. 4-,,,Normal,Ungraded,Near Mint,1700.0004,1,"2,929.75",0,false,2026-06-04,
Main,One Piece,One Piece Promotion Cards,Premium Card Collection -Live Action Edition-,,,Normal,Ungraded,Near Mint,1350.0006,1,"2,151.5",0,false,2026-06-02,
Main,One Piece,One Piece Promotion Cards,Roronoa Zoro [25th Anniversary] (JP),OP01-001,Promo,Foil,CGC 10.0 Pristine,Near Mint,1500.0003,1,"1,573.9",0,false,2026-06-01,
Main,One Piece,One Piece Promotion Cards,Roronoa Zoro - OP01-001 (Alternate Art),OP01-001,PR,Foil,Ungraded,Near Mint,0,1,"2,507.9",0,false,2026-06-06,
Main,One Piece,One Piece Promotion Cards,Sabo (Premium Card Collection -Best Selection Vol. 4-),OP10-049,R,Foil,Ungraded,Near Mint,0,1,126.75,0,false,2026-06-04,
Main,One Piece,One Piece Promotion Cards,Sentomaru (CS 2023 Celebration Pack),ST03-007,C,Foil,Ungraded,Near Mint,0,1,113.33,0,false,2026-06-02,
Main,One Piece,One Piece Promotion Cards,Shanks (Premium Card Collection -Live Action Edition-),P-051,PR,Foil,Ungraded,Near Mint,0,1,52.36,0,false,2026-06-02,
Main,One Piece,One Piece Promotion Cards,Shirahoshi (Premium Card Collection -BANDAI CARD GAMES Fest. 23-24 Edition-),OP03-116,UC,Foil,Ungraded,Near Mint,0,1,116.65,0,false,2026-06-02,
Main,One Piece,Pillars of Strength,Buggy (JP),OP03-008,UC,Normal,Ungraded,Near Mint,0,1,53.02,0,false,2026-06-02,
Main,One Piece,Pillars of Strength,Nojiko (JP),OP03-048,UC,Normal,Ungraded,Near Mint,0,1,36.62,0,false,2026-06-02,
Main,One Piece,PRB02 - One Piece Card the Best Vol. 2,Ama no Murakumo Sword (JP),OP06-056,UR,Foil,Ungraded,Near Mint,0,1,41.42,0,false,2026-06-02,
Main,One Piece,PRB02 - One Piece Card the Best Vol. 2,Because the Side of Justice Will Be Whichever Side Wins!! (JP),OP05-037,R,Foil,Ungraded,Near Mint,0,1,41.42,0,false,2026-06-04,
Main,One Piece,PRB02 - One Piece Card the Best Vol. 2,Black Hole (JP),OP09-098,UR,Foil,Ungraded,Near Mint,0,1,62.96,0,false,2026-06-04,
Main,One Piece,PRB02 - One Piece Card the Best Vol. 2,Brook (JP),ST01-011,R,Foil,Ungraded,Near Mint,0,1,41.42,0,false,2026-06-04,
