item_id,source_row_id,ownership_status,inventory_status,card_name,card_number,set_code,set_name,product_name,rarity,variant,finish,language,condition,grade_company,grade,cert_number,quantity,sealed_or_single,raw_or_slab,cost_basis_zar,cost_status,collectr_market_zar,research_market_usd,research_market_zar,quick_sale_zar,fair_market_zar,patient_local_ask_zar,event_ask_zar,online_ask_usd,online_ask_zar,stretch_ask_zar,walkaway_minimum_zar,expected_net_local_zar,expected_net_ebay_zar,expected_net_cardtrader_zar,expected_net_cardmarket_zar,expected_net_tcgplayer_zar,grading_candidate_score,psa10_estimate_usd,bgs10_estimate_usd,cgc10_estimate_usd,availability_score,liquidity_score,trend_score,confidence_rating,last_researched_at,source_links,notes
0011-gum-gum-jet-culverin-op11-061,11,in_hand,available_for_pricing,Gum-Gum Jet Culverin,OP11-061,OP11,A Fist of Divine Speed,Gum-Gum Jet Culverin,UC,base_or_standard,Normal,Unknown,Near Mint,RAW,,,1,single,raw,,unknown_or_box_pull,2.32,,,,,,,,,,,,,,,,,,,,,,,pending_research,,https://app.getcollectr.com/showcase/profile/ec11ff42-0dfe-4826-9386-d198a3174e67,Imported from Collectr export. Collectr value is baseline only; research before quoting.
0012-monkey-d-luffy-118-op11-118,12,in_hand,available_for_pricing,Monkey.D.Luffy (118),OP11-118,OP11,A Fist of Divine Speed,Monkey.D.Luffy (118),SEC,base_or_standard,Foil,Unknown,Near Mint,RAW,,,1,single,raw,,unknown_or_box_pull,80.19,,,,,,,,,,,,,,,,,,,,,,,pending_research,,https://app.getcollectr.com/showcase/profile/ec11ff42-0dfe-4826-9386-d198a3174e67,Imported from Collectr export. Collectr value is baseline only; research before quoting.
0013-sanji-op11-051,13,in_hand,available_for_pricing,Sanji,OP11-051,OP11,A Fist of Divine Speed,Sanji,SR,base_or_standard,Foil,Unknown,Near Mint,RAW,,,1,single,raw,,unknown_or_box_pull,5.63,,,,,,,,,,,,,,,,,,,,,,,pending_research,,https://app.getcollectr.com/showcase/profile/ec11ff42-0dfe-4826-9386-d198a3174e67,Imported from Collectr export. Collectr value is baseline only; research before quoting.
0014-shanks-sp-st16-004,14,in_hand,available_for_pricing,Shanks (SP),ST16-004,ST16,A Fist of Divine Speed,Shanks (SP),SR,sp,Foil,Unknown,Near Mint,RAW,,,1,single,raw,,unknown_or_box_pull,2314.21,,,,,,,,,,,,,,,,,,,,,,,pending_research,,https://app.getcollectr.com/showcase/profile/ec11ff42-0dfe-4826-9386-d198a3174e67,Imported from Collectr export. Collectr value is baseline only; research before quoting.
0015-trafalgar-law-jp-op13-031,15,in_hand,available_for_pricing,Trafalgar Law (JP),OP13-031,OP13,Carrying on His Will,Trafalgar Law (JP),R,base_or_standard,Foil,Japanese,Near Mint,RAW,,,1,single,raw,,unknown_or_box_pull,28.90,,,,,,,,,,,,,,,,,,,,,,,pending_research,,https://app.getcollectr.com/showcase/profile/ec11ff42-0dfe-4826-9386-d198a3174e67,Imported from Collectr export. Collectr value is baseline only; research before quoting.
0016-divine-departure-op13-076,16,in_hand,available_for_pricing,Divine Departure,OP13-076,OP13,Carrying On His Will,Divine Departure,R,base_or_standard,Foil,Unknown,Near Mint,RAW,,,1,single,raw,,unknown_or_box_pull,29.16,,,,,,,,,,,,,,,,,,,,,,,pending_research,,https://app.getcollectr.com/showcase/profile/ec11ff42-0dfe-4826-9386-d198a3174e67,Imported from Collectr export. Collectr value is baseline only; research before quoting.
0017-don-card-gol-d-roger,17,in_hand,available_for_pricing,DON!! Card (Gol.D.Roger),,,Carrying On His Will,DON!! Card (Gol.D.Roger),DON!!,base_or_standard,Foil,Unknown,Near Mint,RAW,,,1,single,raw,,unknown_or_box_pull,5.80,,,,,,,,,,,,,,,,,,,,,,,pending_research,,https://app.getcollectr.com/showcase/profile/ec11ff42-0dfe-4826-9386-d198a3174e67,Imported from Collectr export. Collectr value is baseline only; research before quoting.
0018-gol-d-roger-003-op13-003,18,in_hand,available_for_pricing,Gol.D.Roger (003),OP13-003,OP13,Carrying On His Will,Gol.D.Roger (003),L,base_or_standard,Normal,Unknown,Near Mint,RAW,,,1,single,raw,,unknown_or_box_pull,2.15,,,,,,,,,,,,,,,,,,,,,,,pending_research,,https://app.getcollectr.com/showcase/profile/ec11ff42-0dfe-4826-9386-d198a3174e67,Imported from Collectr export. Collectr value is baseline only; research before quoting.
0019-gol-d-roger-003-alternate-art-op13-003,19,in_hand,available_for_pricing,Gol.D.Roger (003) (Alternate Art),OP13-003,OP13,Carrying On His Will,Gol.D.Roger (003) (Alternate Art),L,alternate_art,Foil,Unknown,Near Mint,RAW,,,1,single,raw,500.00,recorded,548.60,,,,,,,,,,,,,,,,,,,,,,,pending_research,,https://app.getcollectr.com/showcase/profile/ec11ff42-0dfe-4826-9386-d198a3174e67,Imported from Collectr export. Collectr value is baseline only; research before quoting.
0020-monkey-d-dragon-op13-017,20,in_hand,available_for_pricing,Monkey.D.Dragon,OP13-017,OP13,Carrying On His Will,Monkey.D.Dragon,R,base_or_standard,Foil,Unknown,Near Mint,RAW,,,1,single,raw,,unknown_or_box_pull,1.66,,,,,,,,,,,,,,,,,,,,,,,pending_research,,https://app.getcollectr.com/showcase/profile/ec11ff42-0dfe-4826-9386-d198a3174e67,Imported from Collectr export. Collectr value is baseline only; research before quoting.
0021-monkey-d-garp-op13-016,21,in_hand,available_for_pricing,Monkey.D.Garp,OP13-016,OP13,Carrying On His Will,Monkey.D.Garp,R,base_or_standard,Foil,Unknown,Near Mint,RAW,,,1,single,raw,,unknown_or_box_pull,7.12,,,,,,,,,,,,,,,,,,,,,,,pending_research,,https://app.getcollectr.com/showcase/profile/ec11ff42-0dfe-4826-9386-d198a3174e67,Imported from Collectr export. Collectr value is baseline only; research before quoting.
0022-portgas-d-ace-002-op13-002,22,in_hand,available_for_pricing,Portgas.D.Ace (002),OP13-002,OP13,Carrying On His Will,Portgas.D.Ace (002),L,base_or_standard,Normal,Unknown,Near Mint,RAW,,,1,single,raw,,unknown_or_box_pull,3.31,,,,,,,,,,,,,,,,,,,,,,,pending_research,,https://app.getcollectr.com/showcase/profile/ec11ff42-0dfe-4826-9386-d198a3174e67,Imported from Collectr export. Collectr value is baseline only; research before quoting.
0023-sabo-120-parallel-op13-120,23,in_hand,available_for_pricing,Sabo (120) (Parallel),OP13-120,OP13,Carrying On His Will,Sabo (120) (Parallel),SEC,parallel,Foil,Unknown,Near Mint,RAW,,,1,single,raw,,unknown_or_box_pull,414.56,,,,,,,,,,,,,,,,,,,,,,,pending_research,,https://app.getcollectr.com/showcase/profile/ec11ff42-0dfe-4826-9386-d198a3174e67,Imported from Collectr export. Collectr value is baseline only; research before quoting.
0024-sabo-op07-118-sp-op07-118,24,in_hand,available_for_pricing,Sabo - OP07-118 (SP),OP07-118,OP07,Carrying On His Will,Sabo - OP07-118 (SP),SEC,sp,Foil,Unknown,Near Mint,RAW,,,1,single,raw,,unknown_or_box_pull,1222.30,,,,,,,,,,,,,,,,,,,,,,,pending_research,,https://app.getcollectr.com/showcase/profile/ec11ff42-0dfe-4826-9386-d198a3174e67,Imported from Collectr export. Collectr value is baseline only; research before quoting.
0025-sanji-op13-027,25,in_hand,available_for_pricing,Sanji,OP13-027,OP13,Carrying On His Will,Sanji,R,base_or_standard,Foil,Unknown,Near Mint,RAW,,,1,single,raw,,unknown_or_box_pull,3.48,,,,,,,,,,,,,,,,,,,,,,,pending_research,,https://app.getcollectr.com/showcase/profile/ec11ff42-0dfe-4826-9386-d198a3174e67,Imported from Collectr export. Collectr value is baseline only; research before quoting.
0026-scopper-gaban-op13-067,26,in_hand,available_for_pricing,Scopper Gaban,OP13-067,OP13,Carrying On His Will,Scopper Gaban,R,base_or_standard,Foil,Unknown,Near Mint,RAW,,,1,single,raw,,unknown_or_box_pull,3.65,,,,,,,,,,,,,,,,,,,,,,,pending_research,,https://app.getcollectr.com/showcase/profile/ec11ff42-0dfe-4826-9386-d198a3174e67,Imported from Collectr export. Collectr value is baseline only; research before quoting.
0027-vista-op13-046,27,in_hand,available_for_pricing,Vista,OP13-046,OP13,Carrying On His Will,Vista,R,base_or_standard,Foil,Unknown,Near Mint,RAW,,,1,single,raw,,unknown_or_box_pull,1.82,,,,,,,,,,,,,,,,,,,,,,,pending_research,,https://app.getcollectr.com/showcase/profile/ec11ff42-0dfe-4826-9386-d198a3174e67,Imported from Collectr export. Collectr value is baseline only; research before quoting.
0028-alpha-jp-eb04-042,28,in_hand,available_for_pricing,Alpha (JP),EB04-042,EB04,Egghead Crisis,Alpha (JP),C,base_or_standard,Normal,Japanese,Near Mint,RAW,,,4,single,raw,,unknown_or_box_pull,146.48,,,,,,,,,,,,,,,,,,,,,,,pending_research,,https://app.getcollectr.com/showcase/profile/ec11ff42-0dfe-4826-9386-d198a3174e67,Imported from Collectr export. Collectr value is baseline only; research before quoting.
0029-bartholomew-kuma-jp-eb04-055,29,in_hand,available_for_pricing,Bartholomew Kuma (JP),EB04-055,EB04,Egghead Crisis,Bartholomew Kuma (JP),C,base_or_standard,Normal,Japanese,Near Mint,RAW,,,4,single,raw,,unknown_or_box_pull,152.44,,,,,,,,,,,,,,,,,,,,,,,pending_research,,https://app.getcollectr.com/showcase/profile/ec11ff42-0dfe-4826-9386-d198a3174e67,Imported from Collectr export. Collectr value is baseline only; research before quoting.
0030-bird-neptunian-jp-eb04-016,30,in_hand,available_for_pricing,Bird Neptunian (JP),EB04-016,EB04,Egghead Crisis,Bird Neptunian (JP),C,base_or_standard,Normal,Japanese,Near Mint,RAW,,,4,single,raw,,unknown_or_box_pull,165.68,,,,,,,,,,,,,,,,,,,,,,,pending_research,,https://app.getcollectr.com/showcase/profile/ec11ff42-0dfe-4826-9386-d198a3174e67,Imported from Collectr export. Collectr value is baseline only; research before quoting.
0031-black-rope-dragon-twister-jp-eb04-059,31,in_hand,available_for_pricing,Black Rope Dragon Twister (JP),EB04-059,EB04,Egghead Crisis,Black Rope Dragon Twister (JP),R,base_or_standard,Foil,Japanese,Near Mint,RAW,,,1,single,raw,,unknown_or_box_pull,41.42,,,,,,,,,,,,,,,,,,,,,,,pending_research,,https://app.getcollectr.com/showcase/profile/ec11ff42-0dfe-4826-9386-d198a3174e67,Imported from Collectr export. Collectr value is baseline only; research before quoting.
0032-bluegrass-jp-eb04-026,32,in_hand,available_for_pricing,Bluegrass (JP),EB04-026,EB04,Egghead Crisis,Bluegrass (JP),C,base_or_standard,Normal,Japanese,Near Mint,RAW,,,4,single,raw,,unknown_or_box_pull,146.48,,,,,,,,,,,,,,,,,,,,,,,pending_research,,https://app.getcollectr.com/showcase/profile/ec11ff42-0dfe-4826-9386-d198a3174e67,Imported from Collectr export. Collectr value is baseline only; research before quoting.
0033-boa-hancock-jp-eb04-027,33,in_hand,available_for_pricing,Boa Hancock (JP),EB04-027,EB04,Egghead Crisis,Boa Hancock (JP),R,base_or_standard,Foil,Japanese,Near Mint,RAW,,,1,single,raw,,unknown_or_box_pull,53.02,,,,,,,,,,,,,,,,,,,,,,,pending_research,,https://app.getcollectr.com/showcase/profile/ec11ff42-0dfe-4826-9386-d198a3174e67,Imported from Collectr export. Collectr value is baseline only; research before quoting.
0034-borsalino-jp-eb04-058,34,in_hand,available_for_pricing,Borsalino (JP),EB04-058,EB04,Egghead Crisis,Borsalino (JP),SR,base_or_standard,Foil,Japanese,Near Mint,RAW,,,1,single,raw,,unknown_or_box_pull,459.82,,,,,,,,,,,,,,,,,,,,,,,pending_research,,https://app.getcollectr.com/showcase/profile/ec11ff42-0dfe-4826-9386-d198a3174e67,Imported from Collectr export. Collectr value is baseline only; research before quoting.
0035-carrot-jp-eb04-013,35,in_hand,available_for_pricing,Carrot (JP),EB04-013,EB04,Egghead Crisis,Carrot (JP),SR,base_or_standard,Foil,Japanese,Near Mint,RAW,,,1,single,raw,,unknown_or_box_pull,62.96,,,,,,,,,,,,,,,,,,,,,,,pending_research,,https://app.getcollectr.com/showcase/profile/ec11ff42-0dfe-4826-9386-d198a3174e67,Imported from Collectr export. Collectr value is baseline only; research before quoting.
0036-chaka-pell-jp-eb04-023,36,in_hand,available_for_pricing,Chaka & Pell (JP),EB04-023,EB04,Egghead Crisis,Chaka & Pell (JP),R,base_or_standard,Foil,Japanese,Near Mint,RAW,,,1,single,raw,,unknown_or_box_pull,53.02,,,,,,,,,,,,,,,,,,,,,,,pending_research,,https://app.getcollectr.com/showcase/profile/ec11ff42-0dfe-4826-9386-d198a3174e67,Imported from Collectr export. Collectr value is baseline only; research before quoting.
0037-charlotte-pudding-jp-eb04-034,37,in_hand,available_for_pricing,Charlotte Pudding (JP),EB04-034,EB04,Egghead Crisis,Charlotte Pudding (JP),C,base_or_standard,Normal,Japanese,Near Mint,RAW,,,4,single,raw,,unknown_or_box_pull,146.48,,,,,,,,,,,,,,,,,,,,,,,pending_research,,https://app.getcollectr.com/showcase/profile/ec11ff42-0dfe-4826-9386-d198a3174e67,Imported from Collectr export. Collectr value is baseline only; research before quoting.
0038-distorted-future-jp-eb04-008,38,in_hand,available_for_pricing,Distorted Future (JP),EB04-008,EB04,Egghead Crisis,Distorted Future (JP),R,base_or_standard,Foil,Japanese,Near Mint,RAW,,,1,single,raw,,unknown_or_box_pull,62.96,,,,,,,,,,,,,,,,,,,,,,,pending_research,,https://app.getcollectr.com/showcase/profile/ec11ff42-0dfe-4826-9386-d198a3174e67,Imported from Collectr export. Collectr value is baseline only; research before quoting.
0039-doll-jp-eb04-046,39,in_hand,available_for_pricing,Doll (JP),EB04-046,EB04,Egghead Crisis,Doll (JP),C,base_or_standard,Normal,Japanese,Near Mint,RAW,,,4,single,raw,,unknown_or_box_pull,146.48,,,,,,,,,,,,,,,,,,,,,,,pending_research,,https://app.getcollectr.com/showcase/profile/ec11ff42-0dfe-4826-9386-d198a3174e67,Imported from Collectr export. Collectr value is baseline only; research before quoting.
0040-don-jp-don,40,in_hand,available_for_pricing,DON!! (JP),DON!!,,Egghead Crisis,DON!! (JP),DON!! Cards,base_or_standard,Foil,Japanese,Near Mint,RAW,,,1,single,raw,,unknown_or_box_pull,245.22,,,,,,,,,,,,,,,,,,,,,,,pending_research,,https://app.getcollectr.com/showcase/profile/ec11ff42-0dfe-4826-9386-d198a3174e67,Imported from Collectr export. Collectr value is baseline only; research before quoting.
0041-eleclaw-jp-eb04-019,41,in_hand,available_for_pricing,Eleclaw (JP),EB04-019,EB04,Egghead Crisis,Eleclaw (JP),R,base_or_standard,Foil,Japanese,Near Mint,RAW,,,1,single,raw,,unknown_or_box_pull,41.42,,,,,,,,,,,,,,,,,,,,,,,pending_research,,https://app.getcollectr.com/showcase/profile/ec11ff42-0dfe-4826-9386-d198a3174e67,Imported from Collectr export. Collectr value is baseline only; research before quoting.
0042-emet-jp-eb04-051,42,in_hand,available_for_pricing,Emet (JP),EB04-051,EB04,Egghead Crisis,Emet (JP),C,base_or_standard,Normal,Japanese,Near Mint,RAW,,,4,single,raw,,unknown_or_box_pull,146.48,,,,,,,,,,,,,,,,,,,,,,,pending_research,,https://app.getcollectr.com/showcase/profile/ec11ff42-0dfe-4826-9386-d198a3174e67,Imported from Collectr export. Collectr value is baseline only; research before quoting.
0043-eustass-captain-kid-jp-eb04-039,43,in_hand,available_for_pricing,"Eustass""Captain""Kid (JP)",EB04-039,EB04,Egghead Crisis,"Eustass""Captain""Kid (JP)",R,base_or_standard,Foil,Japanese,Near Mint,RAW,,,1,single,raw,,unknown_or_box_pull,41.42,,,,,,,,,,,,,,,,,,,,,,,pending_research,,https://app.getcollectr.com/showcase/profile/ec11ff42-0dfe-4826-9386-d198a3174e67,Imported from Collectr export. Collectr value is baseline only; research before quoting.
0044-finger-pistol-yellow-lotus-jp-eb04-049,44,in_hand,available_for_pricing,Finger Pistol Yellow Lotus (JP),EB04-049,EB04,Egghead Crisis,Finger Pistol Yellow Lotus (JP),C,base_or_standard,Normal,Japanese,Near Mint,RAW,,,3,single,raw,,unknown_or_box_pull,109.86,,,,,,,,,,,,,,,,,,,,,,,pending_research,,https://app.getcollectr.com/showcase/profile/ec11ff42-0dfe-4826-9386-d198a3174e67,Imported from Collectr export. Collectr value is baseline only; research before quoting.
0045-flame-dragon-torch-jp-eb04-040,45,in_hand,available_for_pricing,Flame Dragon Torch (JP),EB04-040,EB04,Egghead Crisis,Flame Dragon Torch (JP),R,base_or_standard,Foil,Japanese,Near Mint,RAW,,,1,single,raw,,unknown_or_box_pull,41.42,,,,,,,,,,,,,,,,,,,,,,,pending_research,,https://app.getcollectr.com/showcase/profile/ec11ff42-0dfe-4826-9386-d198a3174e67,Imported from Collectr export. Collectr value is baseline only; research before quoting.
0046-ginny-jp-eb04-045,46,in_hand,available_for_pricing,Ginny (JP),EB04-045,EB04,Egghead Crisis,Ginny (JP),C,base_or_standard,Normal,Japanese,Near Mint,RAW,,,4,single,raw,,unknown_or_box_pull,146.48,,,,,,,,,,,,,,,,,,,,,,,pending_research,,https://app.getcollectr.com/showcase/profile/ec11ff42-0dfe-4826-9386-d198a3174e67,Imported from Collectr export. Collectr value is baseline only; research before quoting.
0047-groggy-monsters-jp-eb04-033,47,in_hand,available_for_pricing,Groggy Monsters (JP),EB04-033,EB04,Egghead Crisis,Groggy Monsters (JP),C,base_or_standard,Normal,Japanese,Near Mint,RAW,,,4,single,raw,,unknown_or_box_pull,146.48,,,,,,,,,,,,,,,,,,,,,,,pending_research,,https://app.getcollectr.com/showcase/profile/ec11ff42-0dfe-4826-9386-d198a3174e67,Imported from Collectr export. Collectr value is baseline only; research before quoting.
0048-gum-gum-hawk-gatling-jp-eb04-060,48,in_hand,available_for_pricing,Gum-Gum Hawk Gatling (JP),EB04-060,EB04,Egghead Crisis,Gum-Gum Hawk Gatling (JP),C,base_or_standard,Normal,Japanese,Near Mint,RAW,,,4,single,raw,,unknown_or_box_pull,152.44,,,,,,,,,,,,,,,,,,,,,,,pending_research,,https://app.getcollectr.com/showcase/profile/ec11ff42-0dfe-4826-9386-d198a3174e67,Imported from Collectr export. Collectr value is baseline only; research before quoting.
0049-helmeppo-jp-eb04-047,49,in_hand,available_for_pricing,Helmeppo (JP),EB04-047,EB04,Egghead Crisis,Helmeppo (JP),R,base_or_standard,Foil,Japanese,Near Mint,RAW,,,1,single,raw,,unknown_or_box_pull,53.02,,,,,,,,,,,,,,,,,,,,,,,pending_research,,https://app.getcollectr.com/showcase/profile/ec11ff42-0dfe-4826-9386-d198a3174e67,Imported from Collectr export. Collectr value is baseline only; research before quoting.
0050-hitokiri-kamazo-jp-eb04-035,50,in_hand,available_for_pricing,Hitokiri Kamazo (JP),EB04-035,EB04,Egghead Crisis,Hitokiri Kamazo (JP),C,base_or_standard,Normal,Japanese,Near Mint,RAW,,,3,single,raw,,unknown_or_box_pull,109.86,,,,,,,,,,,,,,,,,,,,,,,pending_research,,https://app.getcollectr.com/showcase/profile/ec11ff42-0dfe-4826-9386-d198a3174e67,Imported from Collectr export. Collectr value is baseline only; research before quoting.
0051-ice-time-jp-eb04-028,51,in_hand,available_for_pricing,Ice Time (JP),EB04-028,EB04,Egghead Crisis,Ice Time (JP),R,base_or_standard,Foil,Japanese,Near Mint,RAW,,,1,single,raw,,unknown_or_box_pull,46.39,,,,,,,,,,,,,,,,,,,,,,,pending_research,,https://app.getcollectr.com/showcase/profile/ec11ff42-0dfe-4826-9386-d198a3174e67,Imported from Collectr export. Collectr value is baseline only; research before quoting.
0052-igaram-jp-eb04-021,52,in_hand,available_for_pricing,Igaram (JP),EB04-021,EB04,Egghead Crisis,Igaram (JP),C,base_or_standard,Normal,Japanese,Near Mint,RAW,,,4,single,raw,,unknown_or_box_pull,146.48,,,,,,,,,,,,,,,,,,,,,,,pending_research,,https://app.getcollectr.com/showcase/profile/ec11ff42-0dfe-4826-9386-d198a3174e67,Imported from Collectr export. Collectr value is baseline only; research before quoting.
0053-i-heard-the-sound-of-a-lady-s-teardrops-falling-jp-eb04-029,53,in_hand,available_for_pricing,I Heard the Sound...of a Lady's Teardrops Falling (JP),EB04-029,EB04,Egghead Crisis,I Heard the Sound...of a Lady's Teardrops Falling (JP),C,base_or_standard,Normal,Japanese,Near Mint,RAW,,,4,single,raw,,unknown_or_box_pull,185.56,,,,,,,,,,,,,,,,,,,,,,,pending_research,,https://app.getcollectr.com/showcase/profile/ec11ff42-0dfe-4826-9386-d198a3174e67,Imported from Collectr export. Collectr value is baseline only; research before quoting.
0054-i-ll-whip-you-into-shape-jp-eb04-050,54,in_hand,available_for_pricing,I'll Whip You Into Shape. Ã¢â„¢Â¡ (JP),EB04-050,EB04,Egghead Crisis,I'll Whip You Into Shape. Ã¢â„¢Â¡ (JP),R,base_or_standard,Foil,Japanese,Near Mint,RAW,,,1,single,raw,,unknown_or_box_pull,46.39,,,,,,,,,,,,,,,,,,,,,,,pending_research,,https://app.getcollectr.com/showcase/profile/ec11ff42-0dfe-4826-9386-d198a3174e67,Imported from Collectr export. Collectr value is baseline only; research before quoting.
0055-issho-jp-eb04-022,55,in_hand,available_for_pricing,Issho (JP),EB04-022,EB04,Egghead Crisis,Issho (JP),R,base_or_standard,Foil,Japanese,Near Mint,RAW,,,1,single,raw,,unknown_or_box_pull,53.02,,,,,,,,,,,,,,,,,,,,,,,pending_research,,https://app.getcollectr.com/showcase/profile/ec11ff42-0dfe-4826-9386-d198a3174e67,Imported from Collectr export. Collectr value is baseline only; research before quoting.
0056-it-s-my-student-s-farewell-i-want-it-to-be-proper-jp-eb04-009,56,in_hand,available_for_pricing,It's My Student's Farewell. I Want It to Be Proper. (JP),EB04-009,EB04,Egghead Crisis,It's My Student's Farewell. I Want It to Be Proper. (JP),C,base_or_standard,Normal,Japanese,Near Mint,RAW,,,5,single,raw,,unknown_or_box_pull,183.10,,,,,,,,,,,,,,,,,,,,,,,pending_research,,https://app.getcollectr.com/showcase/profile/ec11ff42-0dfe-4826-9386-d198a3174e67,Imported from Collectr export. Collectr value is baseline only; research before quoting.
0057-jewelry-bonney-jp-eb04-002,57,in_hand,available_for_pricing,Jewelry Bonney (JP),EB04-002,EB04,Egghead Crisis,Jewelry Bonney (JP),R,base_or_standard,Foil,Japanese,Near Mint,RAW,,,1,single,raw,,unknown_or_box_pull,46.39,,,,,,,,,,,,,,,,,,,,,,,pending_research,,https://app.getcollectr.com/showcase/profile/ec11ff42-0dfe-4826-9386-d198a3174e67,Imported from Collectr export. Collectr value is baseline only; research before quoting.
